txn_id,account_id,counterparty_id,txn_date,amount,currency,channel,counterparty_country,country_risk,structuring_pattern,txn_count_24h,cumulative_24h_amount,pep_flag,sanctions_hit,outcome,flag_reason
TXN-001,ACC-001,CP-100,2024-02-01,85,USD,card,US,low,no,1,85,no,no,clear,
TXN-002,ACC-002,CP-101,2024-02-01,1200,USD,retail,US,low,no,1,1200,no,no,clear,
TXN-003,ACC-003,CP-102,2024-02-02,48000,USD,wire,US,low,no,1,48000,no,yes,report,sanctions_hit
TXN-004,ACC-004,CP-103,2024-02-02,22000,USD,wire,IR,high,no,1,22000,no,no,review,high_risk_jurisdiction
TXN-005,ACC-005,CP-104,2024-02-03,90000,USD,wire,GB,low,no,1,90000,yes,no,review,pep_involved
TXN-006,ACC-007,CP-105,2024-02-03,2800,USD,retail,US,low,yes,6,15200,no,no,review,structuring_pattern
TXN-007,ACC-008,CP-106,2024-02-04,150,GBP,card,GB,low,no,1,150,no,no,clear,
TXN-008,ACC-009,CP-107,2024-02-04,500,EUR,retail,DE,low,no,1,500,no,no,clear,
TXN-009,ACC-010,CP-108,2024-02-05,35000,USD,wire,SY,high,no,1,35000,no,no,review,high_risk_jurisdiction
TXN-010,ACC-011,CP-109,2024-02-05,60000,USD,wire,US,low,no,1,60000,no,yes,report,sanctions_hit
TXN-011,ACC-012,CP-110,2024-02-06,75,USD,card,US,low,no,1,75,no,no,clear,
TXN-012,ACC-013,CP-111,2024-02-06,2900,USD,retail,US,low,yes,5,12500,no,no,review,structuring_pattern
TXN-013,ACC-014,CP-112,2024-02-07,120000,USD,wire,FR,low,no,1,120000,yes,no,review,pep_involved
TXN-014,ACC-015,CP-113,2024-02-07,18000,USD,wire,KP,high,no,1,18000,no,no,review,high_risk_jurisdiction
TXN-015,ACC-016,CP-114,2024-02-08,320,USD,card,US,low,no,1,320,no,no,clear,
TXN-016,ACC-017,CP-115,2024-02-08,9500,USD,wire,US,low,no,1,9500,no,no,clear,
TXN-017,ACC-018,CP-116,2024-02-09,42000,USD,wire,US,low,no,1,42000,no,yes,report,sanctions_hit
TXN-018,ACC-019,CP-117,2024-02-09,2500,USD,retail,US,low,yes,7,17500,no,no,review,structuring_pattern
TXN-019,ACC-020,CP-118,2024-02-10,210,EUR,card,ES,low,no,1,210,no,no,clear,
TXN-020,ACC-021,CP-119,2024-02-10,27000,USD,wire,AF,high,no,1,27000,no,no,review,high_risk_jurisdiction
TXN-021,ACC-022,CP-120,2024-02-11,75000,USD,wire,US,low,no,1,75000,yes,no,review,pep_involved
TXN-022,ACC-023,CP-121,2024-02-11,640,GBP,retail,GB,low,no,1,640,no,no,clear,
TXN-023,ACC-024,CP-122,2024-02-12,55000,USD,wire,US,low,no,1,55000,no,yes,report,sanctions_hit
TXN-024,ACC-025,CP-123,2024-02-12,2700,USD,retail,US,low,yes,4,10800,no,no,review,structuring_pattern
TXN-025,ACC-026,CP-124,2024-02-13,95,USD,card,US,low,no,1,95,no,no,clear,
TXN-026,ACC-027,CP-125,2024-02-13,31000,USD,wire,YE,high,no,1,31000,no,no,review,high_risk_jurisdiction
TXN-027,ACC-028,CP-126,2024-02-14,110000,USD,wire,GB,low,no,1,110000,yes,no,review,pep_involved
TXN-028,ACC-029,CP-127,2024-02-14,1450,USD,retail,US,low,no,1,1450,no,no,clear,
