claim_id,policy_id,claimant_id,claim_date,policy_start_date,claim_amount,policy_limit,claim_type,provider_id,previous_claims_count,days_since_last_claim,claimant_age,claimant_region,is_homeowner,outcome,flag_reason
IC-001,POL-101,CLT-001,2024-02-15,2023-01-10,4500,50000,auto_collision,PRV-010,0,,35,south_east,yes,approved,
IC-002,POL-102,CLT-002,2024-01-20,2024-01-05,12000,15000,property_fire,PRV-011,0,,42,north_west,yes,flagged,early_claim
IC-003,POL-103,CLT-003,2024-03-01,2022-06-15,2500,30000,auto_collision,PRV-010,1,180,28,london,no,approved,
IC-004,POL-104,CLT-004,2024-02-28,2023-09-01,55000,50000,property_flood,PRV-012,0,,51,south_west,yes,denied,exceeds_policy_limit
IC-005,POL-105,CLT-005,2024-03-10,2023-03-15,8000,40000,auto_theft,PRV-013,2,45,38,midlands,yes,approved,
IC-006,POL-106,CLT-006,2024-03-15,2024-02-20,18000,25000,property_fire,PRV-011,0,,33,north_east,no,flagged,early_claim
IC-007,POL-107,CLT-007,2024-04-01,2021-11-01,3200,30000,auto_collision,PRV-014,0,,47,scotland,yes,approved,
IC-008,POL-108,CLT-008,2024-04-05,2023-04-10,7500,20000,medical,PRV-015,3,22,29,london,no,flagged,high_frequency
IC-009,POL-109,CLT-009,2024-04-12,2022-08-20,15000,60000,property_theft,PRV-016,1,300,55,south_east,yes,approved,
IC-010,POL-110,CLT-010,2024-04-18,2024-03-25,9500,10000,auto_collision,PRV-010,0,,24,midlands,no,flagged,early_claim
IC-011,POL-101,CLT-001,2024-04-20,2023-01-10,6000,50000,auto_collision,PRV-010,1,65,35,south_east,yes,approved,
IC-012,POL-111,CLT-011,2024-05-01,2023-07-01,22000,20000,property_fire,PRV-011,1,200,60,wales,yes,denied,exceeds_policy_limit
IC-013,POL-112,CLT-012,2024-05-05,2022-01-15,4800,35000,auto_collision,PRV-017,0,,31,north_west,no,approved,
IC-014,POL-113,CLT-013,2024-05-10,2023-12-01,28000,30000,property_flood,PRV-012,2,90,44,south_west,yes,flagged,high_amount_ratio
IC-015,POL-114,CLT-014,2024-05-15,2024-04-28,5500,25000,auto_theft,PRV-013,0,,27,london,no,flagged,early_claim
IC-016,POL-108,CLT-008,2024-05-18,2023-04-10,6800,20000,medical,PRV-015,4,43,29,london,no,denied,high_frequency
IC-017,POL-115,CLT-015,2024-05-22,2021-03-10,3000,40000,auto_collision,PRV-018,0,,52,scotland,yes,approved,
IC-018,POL-116,CLT-016,2024-06-01,2023-08-15,11000,50000,property_theft,PRV-016,1,250,39,midlands,yes,approved,
IC-019,POL-117,CLT-017,2024-06-05,2024-05-20,35000,40000,property_fire,PRV-011,0,,46,north_east,yes,flagged,early_claim
IC-020,POL-101,CLT-001,2024-06-08,2023-01-10,7200,50000,auto_collision,PRV-010,2,49,35,south_east,yes,flagged,high_frequency
IC-021,POL-118,CLT-018,2024-06-12,2022-05-01,2800,30000,auto_collision,PRV-014,0,,33,wales,no,approved,
IC-022,POL-119,CLT-019,2024-06-18,2023-11-10,45000,40000,property_flood,PRV-012,0,,58,south_west,yes,denied,exceeds_policy_limit
IC-023,POL-120,CLT-020,2024-06-22,2023-06-25,5200,25000,medical,PRV-019,1,150,41,london,yes,approved,
IC-024,POL-121,CLT-021,2024-07-01,2024-06-15,8800,35000,auto_theft,PRV-013,0,,30,north_west,no,flagged,early_claim
