application_id,application_date,applicant_age,annual_income,credit_score,debt_to_income_ratio,employment_status,employment_years,loan_amount,loan_purpose,existing_loans,property_owner,outcome,denial_reason
LA-001,2024-01-15,34,52000,720,0.28,employed,6,15000,home_improvement,1,yes,approved,
LA-002,2024-01-18,22,24000,580,0.45,employed,1,8000,debt_consolidation,3,no,denied,dti_ratio_exceeded
LA-003,2024-01-22,45,78000,760,0.15,employed,12,25000,home_improvement,0,yes,approved,
LA-004,2024-01-25,19,18000,610,0.52,part_time,1,5000,personal,2,no,denied,dti_ratio_exceeded
LA-005,2024-02-01,55,95000,800,0.12,employed,20,40000,home_improvement,1,yes,approved,
LA-006,2024-02-05,28,42000,650,0.35,employed,3,12000,car_purchase,1,yes,approved,
LA-007,2024-02-08,31,38000,640,0.41,employed,4,10000,debt_consolidation,2,no,denied,dti_ratio_exceeded
LA-008,2024-02-12,17,0,0,0.00,unemployed,0,3000,personal,0,no,denied,underage
LA-009,2024-02-15,42,65000,710,0.22,self_employed,8,20000,business,1,yes,approved,
LA-010,2024-02-19,26,31000,590,0.38,employed,2,7000,personal,2,no,denied,low_credit_score
LA-011,2024-02-22,38,48000,680,0.32,employed,7,14000,car_purchase,1,yes,approved,
LA-012,2024-02-26,50,110000,790,0.10,employed,18,50000,home_improvement,0,yes,approved,
LA-013,2024-03-01,24,27000,620,0.44,employed,2,6000,debt_consolidation,3,no,denied,dti_ratio_exceeded
LA-014,2024-03-05,61,72000,740,0.18,employed,15,30000,home_improvement,1,yes,approved,
LA-015,2024-03-08,29,35000,660,0.36,employed,3,9000,personal,1,yes,approved,
LA-016,2024-03-12,33,44000,550,0.29,employed,5,11000,car_purchase,1,no,denied,low_credit_score
LA-017,2024-03-15,40,58000,700,0.25,self_employed,10,18000,business,2,yes,approved,
LA-018,2024-03-19,21,20000,600,0.48,part_time,1,4000,personal,2,no,denied,dti_ratio_exceeded
LA-019,2024-03-22,47,85000,770,0.14,employed,14,35000,home_improvement,0,yes,approved,
LA-020,2024-03-26,35,46000,690,0.33,employed,6,13000,debt_consolidation,2,yes,approved,
LA-021,2024-04-01,27,32000,630,0.42,employed,3,8000,personal,2,no,denied,dti_ratio_exceeded
LA-022,2024-04-05,52,98000,810,0.09,employed,22,45000,home_improvement,0,yes,approved,
LA-023,2024-04-08,30,40000,670,0.37,employed,4,11000,car_purchase,1,yes,approved,
LA-024,2024-04-12,23,22000,560,0.50,employed,1,5000,debt_consolidation,3,no,denied,dti_ratio_exceeded
LA-025,2024-04-15,44,70000,730,0.20,self_employed,9,22000,business,1,yes,approved,
LA-026,2024-04-19,36,50000,540,0.31,employed,5,15000,home_improvement,1,no,denied,low_credit_score
LA-027,2024-04-22,58,88000,780,0.13,employed,25,38000,home_improvement,0,yes,approved,
LA-028,2024-04-26,25,28000,610,0.43,employed,2,6500,personal,2,no,denied,dti_ratio_exceeded
LA-029,2024-05-01,39,55000,710,0.26,employed,8,16000,car_purchase,1,yes,approved,
LA-030,2024-05-05,32,41000,660,0.34,employed,4,10000,debt_consolidation,2,yes,approved,
LA-031,2024-05-08,48,75000,750,0.16,employed,13,28000,home_improvement,1,yes,approved,
LA-032,2024-05-12,20,16000,590,0.55,part_time,0,3500,personal,1,no,denied,dti_ratio_exceeded
LA-033,2024-05-15,43,62000,700,0.24,self_employed,11,19000,business,1,yes,approved,
LA-034,2024-05-19,37,47000,530,0.30,employed,6,12000,car_purchase,1,no,denied,low_credit_score
LA-035,2024-05-22,54,92000,795,0.11,employed,19,42000,home_improvement,0,yes,approved,
LA-036,2024-05-26,26,30000,640,0.39,employed,2,7500,personal,2,no,denied,dti_ratio_exceeded
LA-037,2024-06-01,41,60000,720,0.21,employed,9,17000,home_improvement,1,yes,approved,
LA-038,2024-06-05,28,34000,610,0.46,employed,3,8500,debt_consolidation,3,no,denied,dti_ratio_exceeded
LA-039,2024-06-08,63,68000,760,0.17,employed,30,25000,home_improvement,0,yes,approved,
LA-040,2024-06-12,33,43000,680,0.33,employed,5,13000,car_purchase,1,yes,approved,
LA-041,2024-06-15,22,21000,570,0.47,employed,1,4500,personal,2,no,denied,dti_ratio_exceeded
LA-042,2024-06-19,46,80000,740,0.19,employed,16,32000,home_improvement,1,yes,approved,
LA-043,2024-06-22,30,37000,650,0.40,employed,4,9500,debt_consolidation,2,no,denied,dti_ratio_exceeded
LA-044,2024-06-26,57,100000,820,0.08,employed,28,48000,home_improvement,0,yes,approved,
LA-045,2024-07-01,35,49000,690,0.27,employed,7,14000,car_purchase,1,yes,approved,
LA-046,2024-07-05,24,25000,600,0.44,part_time,1,5500,personal,2,no,denied,dti_ratio_exceeded
LA-047,2024-07-08,40,56000,710,0.23,self_employed,10,16000,business,1,yes,approved,
LA-048,2024-07-12,29,33000,520,0.35,employed,3,8000,personal,1,no,denied,low_credit_score
LA-049,2024-07-15,51,90000,785,0.12,employed,20,40000,home_improvement,0,yes,approved,
LA-050,2024-07-19,38,52000,700,0.29,employed,8,15000,debt_consolidation,1,yes,approved,
