stated_purpose,collection_purpose,routine_use_claimed
Confirming an employee's job title and dates to a payroll office processing salary.,Borrowing records collected to lend materials and recover overdue items.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Personnel records collected to employ and pay the individual.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Responses collected solely to produce anonymous population statistics.,0
Providing de-identified benefit-usage data to an academic team studying the programme.,Health records collected to provide medical treatment to the patient.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Financial records collected to run and account for the agency programme.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Borrowing records collected to lend materials and recover overdue items.,1
Handing census household responses to immigration agents for deportation targeting.,Health records collected to provide medical treatment to the patient.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Health records collected to provide medical treatment to the patient.,0
Handing census household responses to immigration agents for deportation targeting.,Data collected to establish eligibility for a social-benefit programme.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Financial records collected to run and account for the agency programme.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Health records collected to provide medical treatment to the patient.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Records were collected to administer federal income tax obligations.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Responses collected solely to produce anonymous population statistics.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Health records collected to provide medical treatment to the patient.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Health records collected to provide medical treatment to the patient.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Records were collected to administer federal income tax obligations.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Personnel records collected to employ and pay the individual.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Records collected to license and register motor-vehicle operators.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Financial records collected to run and account for the agency programme.,0
Confirming an employee's job title and dates to a payroll office processing salary.,Responses collected solely to produce anonymous population statistics.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Financial records collected to run and account for the agency programme.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Records were collected to administer federal income tax obligations.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Records collected to license and register motor-vehicle operators.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Records collected to license and register motor-vehicle operators.,0
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Personnel records collected to employ and pay the individual.,0
Selling drivers' licence photos and addresses to a commercial data broker.,Responses collected solely to produce anonymous population statistics.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Responses collected solely to produce anonymous population statistics.,0
Disclosing library borrowing histories to an online advertising network for targeting.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Records collected to license and register motor-vehicle operators.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Records were collected to administer federal income tax obligations.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Data collected to establish eligibility for a social-benefit programme.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Data collected to establish eligibility for a social-benefit programme.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Records were collected to administer federal income tax obligations.,0
Disclosing library borrowing histories to an online advertising network for targeting.,Records collected to license and register motor-vehicle operators.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Records collected to license and register motor-vehicle operators.,0
